Array,Deploy Date,Deploy Time,Crew,Grid Cell #,Site,Camera Unit #,SD Card #,Lat,Long,GPS Label,Ecosite,Camera Site Description,Topography,Grade (%),Elevation (m),Distance to Trail (m),Camera Direction,Trail Use Rating,Distance to Lure,Comments and Access Notes
OSM_LU2,15-Jul-21,NA,RS MAY,LU2_03,LU2_03,521,1554,54.87192,-111.48897,LU2-03,lowland,Open mixed conifer/aspen forest. Abundant black spruce. Understory of moss and roses. Lots of downed woody debris,Flat,0,725,2.5,NW,2,4,"Drove in along small road/cutline (?) through cell LU2-33 north of main road. Parked where the road forks, then walked northeast along road/cutline/game trails to GPS point."
OSM_LU2,12-Jul-21,1512,RS SF,LU2_05,LU2_05,212,2702,54.87287,-111.40779,LU2-5,lowland,Camera positioned along a defined game trail beside beautiful pond. Bring binos for ducks! Sapling in front of camera lured - be careful!,Flat,0,652,1,NE,3,3,Follow an old ATV trail (fairly overgrown) from E side of road. Follow until you reach a lot of downed trees and take a left into the forest.
OSM_LU2,15-Jul-21,NA,SF LKE,LU2_100,LU2_100,505,NA,54.99404,-111.76688,LU2-100,unknown,"Open spruce & aspen forest, next to a river. Some low shrubs, horsetails, moss. Slight game trails along the side of the river. Moose scat by camera. ",Flat,0,568,4,SE,2,5,"Off grid replacement. Took imperial mills loop road, parked & walked in on cutline. Easy walk."
OSM_LU2,12-Jul-21,1634,RS SF,LU2_101,LU2_101,269,2396,54.86738,-111.41208,LU2-101,unknown,Mixed wood forest with semi-open understory. Near very dense patch of conifer.,Flat,0,650,3,SE,3,4,"Parked on side of road, near where the cutline shows up on map. Walked E into forest."
OSM_LU2,12-Jul-21,NA,RS SF,LU2_106,LU2_106,244,2394,54.88816,-111.78943,LU2-106,unknown,At the end of a dead end road by CP rail. ~100m from rail. Stand of conifers next to aspen/mixed wood. Open understory. Fence w/ game trail where animals jumping over. Pointing down trail and junction.,Flat,0,600,1,SE,NA,4,Drive to end of road by dead end sign/CP rail. Walk into forest towards conifers. Deer bones/antler found in area. Also found an empty Bushnell trail cam on forest floor. Near kill site. Scat maybe wolf.
OSM_LU2,13-Jul-21,1630,SF MAY,LU2_110,LU2_110,530,1612,54.91792,-111.47919,LU2-110,unknown,Semi-open stand of spruce. Mossy forest floor w/ horsetails & labrador tea. Network of game trails throughout. Camera pointing @ junction of 2 trails. ,Flat,0,720,5,N,NA,5,"Parked on side of road, walked into forest. Fairly easy access. Lots of ungulate scat on trail."
OSM_LU2,15-Jul-21,NA,SF LKE,LU2_119,LU2_119,565,4116,54.98888,-111.78169,LU2-119,unknown,Lowland boggy area w/ black spruce & larch. Followed a nice distinct game trail in. Lots of labrador tea. Some kind of scat in front of camera.,Flat,0,583,4,SE,2,6,
OSM_LU2,15-Jul-21,NA,SF LKE,LU2_123,LU2_123,54,3979,55.00679,-111.66826,LU2-123,unknown,"Moderately dense spruce & aspen stand, on a game trail right next to a small creek. Horsetail & short shrubs. Looks like a forestry araea flagged off nearby.",Slope,05-Mar,653,4,S,2,5,
OSM_LU2,12-Jul-21,NA,LKE MAY,LU2_13,LU2_13,215,1850,54.89791,-111.40125,LU2-13,lowland,"Sparsely treed, dry forest. Black spruce forest. Mossy understory, some labrador tea. Beautiful game trails, multiple trails forming a network through forest stand. Camera where one game trail diverges into two. Locked with OSM A2 key.",Flat,0,684,2,N,3,6,"Parked near offshoot road along main road leading to Lakeland PRA, near tree with a silver triangle attached, close to camera site if walking straight to GPS point from main road. Followed cutline on north sde of road west until terrain drops down to bog, then walked north along distinct game trails to camera. Locked with OSM A2 key."
OSM_LU2,14-Jul-21,1703,SF MAY,LU2_137,LU2_137,575,760,54.94295,-111.59875,LU2-137,unknown,Mixed wood stand. Semi-open understory w/ some shrubs. Many game trails throughout. ,Flat,0,630,5,W,2,6,Parked on side of road near clear cut line. Followed cutline N into forest and then picked up game trail going west.
OSM_LU2,13-Jul-21,NA,SF MAY,LU2_143,LU2_143,526,1495,54.93758,-111.43214,LU2-143,unknown,"In mixed wood forest, low density canopy. Horsetails and low shrubs on forest floor. Camera pointing at junction of two game trails.",Flat,0,750,5,N,2,5,Parked by where the old road would have extended into site 43. Walked along old cutline and then dipped into forest.
OSM_LU2,12-Jul-21,1346,RS SF,LU2_15,LU2_15,217,2476,54.90787,-111.38586,LU2-15,lowland,On game trail in older growth conifer pocket surrounded by young alder.,Slope,2,720,1,SW,2,3,Follow open grass cutline on the border of centroids 15 and 13 W-bound. Follow game trail N-bound when in line w/ camera location waypoint.
OSM_LU2,13-Jul-21,NA,RS LKE,LU2_153,LU2_153,508,761,54.98868,-111.49073,LU2-153,unknown,"Open, dry upland stretch, white spruce & larhe aspen, shrubby understory (sasparitta, rose, etc.) Lots of berries! 2 intersecting game trails in front of camera",Slope,3,659,3,NW,2,5,"Drove down the road south of Heart Lake, went through Heart Lake FN checkpoint. Can only drive in just past cell 50. Site accesed off side of a cutline. Replacement for 53 between 51 and 50."
OSM_LU2,14-Jul-21,NA,RS LKE,LU2_155,LU2_155,527,1170,54.97483,-111.40751,LU2-155,unknown,"Open aspen stand w/ sparse white spruce, tall grass & some shrubs. Old cutblocks nearby. Camera on game trail (scat seen on trail) in some conifers where grass grew a bit shorter.",Flat,0,771,4,N,2,6,Replacing site 55 - could not access. Parked along resource road S of Heart Lake and walked in through shrubby open area.
OSM_LU2,14-Jul-21,1300,SF MAY,LU2_17,LU2_17,538,1427,54.92504,-111.50987,LU2-17,lowland,"Moderately dense black spruce forest adjacent to grassy, boggy clearing. Well defined game trail network. Camera at cross-section of two distinct game trails. Understory of moss, gross, and roses.",Flat,0,649,3,N,3,6,"Parked along main road then walked through grassy clearing on south side of road (visible from main road). Followed game trails south through clearing, then turned west towards camera."
OSM_LU2,13-Jul-21,NA,SF MAY,LU2_18,LU2_18,555,1581,54.92097,-111.45886,LU2-18,lowland,Lowland black spruce forest with understory of moss and labrador tea. Lots of networks of game trails. Camera pointed at convergence of two trails into one. Moderately dense forest.,Flat,0,735,4,SW,3,5,Parked on road closest camera then just walked straight in along game trails to GPS point. Wolf & possibly lynx tracks observed by road where we parked.
OSM_LU2,15-Jul-21,NA,SF LKE,LU2_20,LU2_20,504,1670,54.95559,-111.63136,LU2-20,lowland,"Open aspen stand w/ some spruce, tall shrubs (gooseberry, rose, sasporilla), faint game trails throughout, easy walking through. Deer scat seen on way in. ",Flat,0,630,3,SE,1,6,Easy - parked & walked in.
OSM_LU2,15-Jul-21,1209,SF LKE,LU2_21,LU2_21,571,NA,54.94711,-111.62397,LU2-21,lowland,Aspen forest right at the boundary of low-wetland/tamarack area. Distinct game trail. Following the boundary of habitats. Camera pointing downtrail at an angle. Semi-open understory with forage. ,Flat,0,630,4,NE,2,6,Park on side of road near cutline. Game trail going between the upland/aspen & lowland/tamarack stand. Moose scat in area. Shepherdia bushes in area.
